id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10102165W,"[\"OL3135754A\", \"OL1298461A\", \"OL6895217A\", \"OL1725568A\", \"OL5043512A\"]","[\"Elske Gerritsen\"]",,"Tilman Van Gameren","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10102346W,"[\"OL4087186A\"]","[]",,"Improving Health and Welfare in Animal Production (EAAP Publications)","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10102813W,"[\"OL4087732A\"]","[]",,"Configural Processes in Face Recognition","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL1010295W,"[\"OL94533A\"]","[]",,"História de revistas e jornais literários","[]",2009-12-09
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10103318W,"[\"OL4088212A\"]","[]",,"Studies of the inhibition of trypanothione reductase","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10103319W,"[\"OL4088213A\"]","[]",,"Augmentation of Vital Organ Blood Flow During Experimental Cardiopulmonary Resuscitation","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10103665W,"[\"OL4088546A\"]","[]",,"Carbohydrate-Rich Foods in the Treatment of the Insulin Resistance Syndrome","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10103691W,"[\"OL4088570A\"]","[]",,"Leukocytes and Coronary Artery Disease","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10104275W,"[\"OL4089124A\"]","[]",,"Det forlovade landet","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10104336W,"[\"OL4089184A\"]","[]",,"Vetenskapssocieteten i Lund Arsbok 1993 [Yearbook of the New Society of Letters at Lund]","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10104430W,"[\"OL4089273A\"]","[]",,"En ny giv","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10104435W,"[\"OL4089277A\"]","[]",,"Pharmaceutics","[]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10104734W,"[\"OL4089561A\"]","[]",,"Divana Ruhi (Bire klasikan)","[\"5599647\"]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10104859W,"[\"OL4089694A\"]","[]",,"Female Quest in Christina Stead's for Love Alone (Lund Studies in English)","[\"3342359\"]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10104947W,"[\"OL4089793A\"]","[]",,"Isotopes and Radiation in Parasitology IV","[\"5218416\"]",2009-12-11
id,author_id,author_names,book_description,book_name,cover_ids,published_date
OL10105095W,"[\"OL4090010A\"]","[]",,"Geld, Macht und Reliquien: wirtschaftliche Auswirkungen des Reliquienkultes im Mittelalter","[]",2009-12-11
